,type_pre,weight,out_to_ovis_weight,out_to_ovis_rank
871,SMP489,1,1,254
872,SMP038,1,1,263
873,LAL123,1,1,291
874,SMP267,1,1,118
875,LAL101,1,1,161
876,LAL098,1,1,144
877,SMP279_a,1,1,231
878,LAL090,1,1,154
879,LAL135,1,1,231
880,LAL087,1,1,79
881,SMP283,1,1,143
882,LAL080,1,1,299
883,SMP285,1,1,157
884,LAL077,1,1,277
885,SMP256,1,1,247
886,SMP296,1,1,171
887,PPM1204,1,1,135
888,LAL062,1,1,187
889,SMP254,1,10,77
890,PPL202,1,1,787
891,PS098,1,1,191
892,LAL047,1,1,236
893,LAL146,1,1,124
894,LAL030_b,1,1,216
895,LAL012,1,1,159
896,SMP250,1,1,190
897,LAL149,1,1,164
898,LAL005,1,2,32
899,PPL201,1,1,1169
900,IB109,1,1,323
901,LAL151,1,1,146
902,FB4Q_b,1,1,85
903,SMP375,1,1,169
904,FB4M,1,1,158
905,FB4H,1,1,131
906,PS271,1,1,154
907,PVLP151,1,1,262
908,PLP244,1,1,934
909,CRE042,1,2,316
910,SMP425,1,2,128
911,CRE041,1,2,205
912,SMP428,1,1,163
913,LHAD1b6_b,1,1,258
914,SAG,1,2,57
915,LHAV6c1,1,1,337
916,SMP442,1,1,122
917,LHCENT10,1,1,617
918,SMP452,1,1,93
919,CRE029_c,1,2,169
920,SIP001,1,1,201
921,CRE029_a,1,3,152
922,SMP460,1,3,81
923,SMP461,1,1,200
924,SMP462,1,1,148
925,SMP044,1,2,77
926,SIP003_a,1,1,172
927,SIP003_b,1,1,205
928,LHPD2a4_b,1,1,218
929,LAL124,1,1,351
930,SMP472,1,3,110
931,SMP168,1,1,186
932,SLP439,1,1,182
933,CRE020,1,1,210
934,SMP482,1,1,100
935,SMP419,1,1,223
936,CRE050,1,2,185
937,PS264,1,1,246
938,CRE088,1,1,223
939,SMP378,1,3,56
940,FB4G,1,1,163
941,FB4D,1,1,176
942,FB2L,1,1,118
943,SMP204,1,3,102
944,DNp17,1,1,295
945,SMP387,1,1,325
946,CRE104,1,1,108
947,CRE102,1,1,304
948,PLP012,1,1,228
949,CRE095,1,5,106
950,LAL200,1,1,192
951,SMP199,1,6,96
952,SMP395,1,1,144
953,PS258,1,1,34
954,LAL201,1,1,157
955,SMP399,1,2,134
956,PS152,1,1,105
957,PPL103,1,1,154
958,PS192,1,1,103
959,CRE071,1,1,192
960,SMP408_a,1,2,92
961,SMP408_b,1,1,228
962,CRE066,1,3,179
963,CRE060,1,1,153
964,CRE059,1,1,279
965,SMP412,1,3,25
966,CRE052,1,1,318
967,SIP074,1,1,264
